place_id,place_name,reviewer_name,rating_review,review_text,published_at,published_at_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,reviewer_profile_picture,review_photos,user_id
1,Kusuma Jogja Tour & Travel,raden deni,5.0,"Kusuma Jogya tour & travel sangat membantu kami yang berlibur di Yogyakarta, Admin sangat sopan dan cekatan, driver nya atas nama kak Yudha sangat ramah dan baik, bila ada perubahan jadwal kunjungan bisa langsung di kasih solusinya, sangat membantu selama kami liburan, semoga kusuma Jogya tour & travel makin jaya dan kita bisa berjumpa lagi saat kami liburan lagi.. Tetap semangat mecari rejekinya ya..",2 minggu lalu,2023-11-26 12:03:18.414,0,33,42,https://www.google.com/maps/contrib/101417215370298758907/reviews?entry=ttu,https://lh3.googleusercontent.com/a-/ALV-UjXgc81xgmRJw8hOjA-RFafFE45PVTgvn8so_HbHJrwyh0JK=s120-c-rp-mo-ba3-br100,"['https://lh5.googleusercontent.com/p/AF1QipM4ARBx2yW7beAN0X7CVRcxy7Krp_97lz_N6-zB=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMH8uw4i2DbmSmcGTECWL_bEdYV89JAOmKu2jZm=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPiH_c4rWai9Gi6nr8Sk34mT2mDPshqJa9D-Jte=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOZJHBYGn2nZuxiLroIid_JhpK8xnKQM1fWG4vD=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPeqi3Oq28d4woO1WS6lFzJKrwgQ3I4wMmIbP2a=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPTp_VXT4yYTUdlaG5IEnxV9L_jvZ_dh78Gc6IK=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOW3jOWqZKFlbcuZjAgRNxifW3z6_ARo3x-9zz4=w150-h150-k-no-p']",66246
1,Kusuma Jogja Tour & Travel,Mega el Zahra,5.0,"Sangat memuaskan pelayanan & servicenya...
Driver ramah, sabar, sll memberikan solusi yg baik, . alhamdulillah ini yg kedua kalinya memakai jasa kusuma travel. Sukses sll ya Kusuma Jogja Tour & Travel",sebulan lalu,2023-11-09 13:38:57.178,0,6,8,https://www.google.com/maps/contrib/111505132390347779692/reviews?entry=ttu,https://lh3.googleusercontent.com/a-/ALV-UjUXzojNPopi32MRzhlCNJgvrGB0Z-aAl169noV-zSE0yv8=s120-c-rp-mo-br100,"['https://lh5.googleusercontent.com/p/AF1QipN3AtTuviLpFTKOM_ZWeUho3Vc4J04_HljHK7Gn=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOPJgjPjeeKlmlNBaV6walT_R0rLVzMHrUUIQvF=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN5OdijY4K_IcAnWjKjTM6R7Bpl4LkIyquCnEpX=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMeYWoJdv3-gbGU_1z7zDvrkMcVpFlBJZ0SdhkD=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNfoltsJOqzcjqce0tW3idiKdRpeO49isZbZVpE=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOgx704Zqaf8-vwkyc1Bnu241crpm1B1C7ModwF=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPtEjre0sAdcmKtXs7izGf-AC5mvw3Pr77UXtB-=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNPwoYzFnWnB6DehFczuKAQIpBVWwiydeXjdAWl=w150-h150-k-no-p']",33589
1,Kusuma Jogja Tour & Travel,putri pertiwi,5.0,"Pelayanan & Servis driver sangat oke, Admin fast respon, ramah. Rekomen yaa buat yang mau liburan ke jogja pakai Travel Kusuma Jogja Tour",2 minggu lalu,2023-11-26 14:39:45.640,1,2,3,https://www.google.com/maps/contrib/105243671880772640664/reviews?entry=ttu,https://lh3.googleusercontent.com/a/ACg8ocI2Amgw-69QZZRT6vE2T2hTL1Pq1qo3kKWMCFcrYPLm=s120-c-rp-mo-br100,"['https://lh5.googleusercontent.com/p/AF1QipM_zBqWPYypxy_RW5a6kf5_oSIuiOUY3OaI5xRf=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMK_Wkjf8xubzu3_RmX0ksbcuNfbVebO5S5dGu-=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNy-DKDopT1hzlOa3qux3iRPpK3GET_BV2UozEN=w150-h150-k-no-p']",66183
1,Kusuma Jogja Tour & Travel,Dian Handriati,5.0,"Destinasinya bagus semuanya, drivernya juga ramah, sopan dan kooperatif. Terima kasih dan sukses selalu Kusuma Jogja Tour & Travel",2 bulan lalu,2023-10-12 12:37:22.445,1,1,6,https://www.google.com/maps/contrib/116390965283408993573/reviews?entry=ttu,https://lh3.googleusercontent.com/a/ACg8ocKeWO6IAMi-zGvAn5waQj8MUwgLZFlvByDb1NEITeY=s120-c-rp-mo-br100,"['https://lh5.googleusercontent.com/p/AF1QipNMMzRvkU3ogOS1dVBjwfrI_jtekU0Gk35OqNo=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPMirnlcgdg9oN7StMwKMgDSdQyB9u9aHKozLY=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP2HDqAlWeqpYUiCm0qx78VDX6_FfanXRr6Evg=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM1TfSwr_Kiesx085WEdZI5wA0TkgDzoWhV37o=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOwqxyU9ZiMDV4TX2WOg4LN5iCZ87ZdPViirHc=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPRiRwp8ZMQMKeYcpeSgBfziJ7uH8UjPzq31ho=w150-h150-k-no-p']",15039
1,Kusuma Jogja Tour & Travel,Egi Jengkelin,5.0,"Terbaik dan terpercaya , waktu unlimited harga kompetitif. Rekomendasi tempat wisata bisa berubah arah sesuai keinginan client. T O P",sebulan lalu,2023-10-29 02:29:41.968,0,1,11,https://www.google.com/maps/contrib/107005135522543509135/reviews?entry=ttu,https://lh3.googleusercontent.com/a-/ALV-UjWq55FyVpS1Hf_S3CRw8F0nVMmQDeTnydyABD_LpHqkMUg=s120-c-rp-mo-br100,['https://lh5.googleusercontent.com/p/AF1QipO65kSb0oUnIB5YwQWq2W904YKfSPkRchi9CW0q=w150-h150-k-no-p'],17051
1,Kusuma Jogja Tour & Travel,Ayu Putu Adnyani,5.0,"Terimakasih Kusuma Yogya Tour & Travel atas pelayanannya selama kami berlibur di Yogya.
Admin yg ramah, cekatan dan driver yg santun. 
Semakin jaya dan sukses utk Kusuma Yogya Tour & Travel ",1 hari lalu,2023-12-11 12:13:57.207,0,2,0,https://www.google.com/maps/contrib/106198867216754409664/reviews?entry=ttu,https://lh3.googleusercontent.com/a/ACg8ocKMcwd20y4rnW4SC1zuWp_flJ63HLj_AhknQMn849ne=s120-c-rp-mo-br100,[],9236
1,Kusuma Jogja Tour & Travel,Ulfa Chianti,5.0,"Pelayanan dari admin dan driver sangat memuaskan, dari harga juga yang sangat terjangkau, drivernya ramah, sabar dan sangat baik, adminnya fast respon, sangat recommended",2 hari lalu,2023-12-11 10:58:39.310,0,2,0,https://www.google.com/maps/contrib/108540651071808126672/reviews?entry=ttu,https://lh3.googleusercontent.com/a/ACg8ocJTy-tivjHiDr9xU_ej6wxigmjuFj3fIuMLnUEB3Uw6=s120-c-rp-mo-br100,[],53036
1,Kusuma Jogja Tour & Travel,Deby,5.0,"Highly recommended...
Mas drivernya asik & bantu kasih saran utk lokasi tripnya juga. Matur nuwun Kusuma Jogjaa dan mas Raka. Semoga next trip bisa pakai travel ini lg. Sukses selalu ",sebulan lalu,2023-11-10 11:21:20.981,0,2,0,https://www.google.com/maps/contrib/113593547015336013208/reviews?entry=ttu,https://lh3.googleusercontent.com/a-/ALV-UjXb_Sf6iCYdF1VitQLISpc-MTKwAyAJhWkZu7eovDtFGCaZ=s120-c-rp-mo-br100,[],13705
2,JONGGRANG TRAVEL MADIUN,Adellia Octaviani,5.0,"Pelayanan prima mobil bersih dan ac dingin,perjlanan cepat via toll dan tarif sangat terjangkau...good job jonggrang travel",sebulan lalu,2023-10-16 11:35:04.917,1,2,0,https://www.google.com/maps/contrib/108669286395706563990/reviews?entry=ttu,https://lh3.googleusercontent.com/a-/ALV-UjUCaqzCAA39ufnE1cruJWoKZgZ_foFnw27LUpXkL8_PwA=s120-c-rp-mo-br100,[],1754
2,JONGGRANG TRAVEL MADIUN,Ayu Ochien,5.0,"Pelayan mantap, mobil enak, AC dingin dan perjalanan cepat,driver berpengalaman, sabar dan enak di ajak ngobrol... terima kasih Jonggrang travel",sebulan lalu,2023-11-03 08:36:52.329,0,1,0,https://www.google.com/maps/contrib/100223495900597031912/reviews?entry=ttu,https://lh3.googleusercontent.com/a/ACg8ocIJPk77qSM6oxbc97zrS2NcoDaKstuLxwWgEV-9x6jD=s120-c-rp-mo-br100,[],9231
